algorithm,language,sample,time
quick,lua,64,0.014736
quick,lua,65,0.015611
quick,lua,66,0.017021
quick,lua,67,0.0151
quick,lua,68,0.017871
quick,lua,69,0.015384
quick,lua,70,0.015055
quick,lua,71,0.015587
quick,lua,72,0.015009
quick,lua,73,0.016509
quick,lua,74,0.014868
quick,lua,75,0.015973
quick,lua,76,0.015178
quick,lua,77,0.015972
quick,lua,78,0.014039
quick,lua,79,0.014673
quick,lua,80,0.015182
quick,lua,81,0.016618
quick,lua,82,0.019018
quick,lua,83,0.017849
quick,lua,84,0.016356
quick,lua,85,0.021308
quick,lua,86,0.014984
quick,lua,87,0.016499
quick,lua,88,0.017331
quick,lua,89,0.01602
quick,lua,90,0.014311
quick,lua,91,0.01469
quick,lua,92,0.014423
quick,lua,93,0.014316
quick,lua,94,0.014518
quick,lua,95,0.015793
quick,lua,96,0.014473
quick,lua,97,0.016665
quick,lua,98,0.016099
quick,lua,99,0.01481
heap,lua,0,0.020951
heap,lua,1,0.021084
heap,lua,2,0.022606
heap,lua,3,0.021
heap,lua,4,0.020841
heap,lua,5,0.021058
heap,lua,6,0.020251
heap,lua,7,0.02132
heap,lua,8,0.021671
heap,lua,9,0.027126
heap,lua,10,0.022713
heap,lua,11,0.020562
heap,lua,12,0.019793
heap,lua,13,0.020204
heap,lua,14,0.019635
heap,lua,15,0.020183
heap,lua,16,0.019607
heap,lua,17,0.020688
heap,lua,18,0.019472
